q vs vout1 X,q vs vout1 Y
0.1485529679590639,0
0.1424031428586498,0.02
0.1363482763141183,0.04
0.1303875559254905,0.06
0.1245191430716397,0.08
0.11873969505053,0.1
0.1130436559591006,0.12
0.1074222159186435,0.14
0.1018618069724028,0.16
0.09634199015790031,0.18
0.090832700544325,0.2
0.08529133086973149,0.22
0.07966160131831798,0.24
0.07387932929186056,0.26
0.06789498614552991,0.28
0.06172026657040777,0.3
0.05547037709983652,0.32
0.0493376663282389,0.34
0.04351055803094927,0.36
0.03811891623182594,0.3800000000000001
0.03322632726787,0.4000000000000001
0.02884341374613768,0.4200000000000001
0.02494711219970174,0.4400000000000001
0.02149678062982376,0.4600000000000001
0.01844554141849361,0.4800000000000001
0.01574715529550567,0.5000000000000001
0.01335960702207174,0.5200000000000001
0.01124658655055298,0.5400000000000001
0.009377768546867674,0.5600000000000002
0.007728481670474958,0.5800000000000002
0.006279105395985506,0.6000000000000002
0.005014346809315272,0.6200000000000002
0.003922417250057426,0.6400000000000002
0.002994036760782541,0.6600000000000003
0.002221154003224941,0.6800000000000003
0.001595326912447468,0.7000000000000003
0.001105927249684368,0.7200000000000003
0.0007386926455113515,0.7400000000000003
0.0004754064267528795,0.7600000000000003
0.0002952120677343079,0.7800000000000004
0.0001771688682092434,0.8000000000000004
0.0001028225962223548,0.8200000000000004
5.765916236803557e-05,0.8400000000000004
3.120718526139508e-05,0.8600000000000004
1.632546999026895e-05,0.8800000000000004
8.318541084147894e-06,0.9000000000000005
4.207454761827963e-06,0.9200000000000005
2.191552734493859e-06,0.9400000000000005
1.246108782885732e-06,0.9600000000000005
8.236334240354551e-07,0.9800000000000005
6.479089513469045e-07,1
