vout vs vin X,vout vs vin Y
0,0.9997484408075619
0.02,0.9995807632261433
0.04,0.9993052279285247
0.06,0.9988563939408147
0.08,0.9981318878321379
0.1,0.9969737351949828
0.12,0.9951431780862595
0.14,0.9922909510259699
0.16,0.9879294358736012
0.18,0.9814158420571435
0.2,0.9719499773969466
0.22,0.9585724034877835
0.24,0.9401227624966708
0.26,0.9150854450959365
0.28,0.8811755779749002
0.3,0.8342377010116276
0.32,0.7645517905448672
0.34,0.6562866711649518
0.36,0.5221517720238061
0.3800000000000001,0.3830274987005645
0.4000000000000001,0.2494288038723236
0.4200000000000001,0.1425978274276776
0.4400000000000001,0.09198551374667056
0.4600000000000001,0.06690049520104178
0.4800000000000001,0.05104300099535939
0.5000000000000001,0.03987437664387977
0.5200000000000001,0.03152712051247725
0.5400000000000001,0.02506075269278216
0.5600000000000002,0.01991914921715358
0.5800000000000002,0.01576206852576997
0.6000000000000002,0.01236630180075597
0.6200000000000002,0.009580016447773237
0.6400000000000002,0.007296897504842438
0.6600000000000003,0.00544024911818908
0.6800000000000003,0.003952251626517495
0.7000000000000003,0.002785946328304759
0.7200000000000003,0.001898968155454869
0.7400000000000003,0.001249159843267265
0.7600000000000003,0.0007928408122316982
0.7800000000000004,0.0004861390395830039
0.8000000000000004,0.0002884201535105111
0.8200000000000004,0.0001656753137563644
0.8400000000000004,9.208213869173058e-05
0.8600000000000004,4.949200626530005e-05
0.8800000000000004,2.579081727129506e-05
0.9000000000000005,1.316310742310401e-05
0.9200000000000005,6.734931074710659e-06
0.9400000000000005,3.604802378637946e-06
0.9600000000000005,2.143347019227309e-06
0.9800000000000005,1.489994204991252e-06
1,1.214909324250605e-06
