vout vs q X,vout vs q Y,vout1
0,0.999748449,0.148552968
0.02,0.999580777,0.142403143
0.04,0.999305251,0.136348276
0.06,0.998856433,0.130387556
0.08,0.998131954,0.124519143
0.1,0.996973848,0.118739695
0.12,0.99514337,0.113043656
0.14,0.992291283,0.107422216
0.16,0.987930019,0.101861807
0.18,0.981416897,0.09634199
0.2,0.971951956,0.090832701
0.22,0.958576323,0.085291331
0.24,0.94011808,0.079661601
0.26,0.91508435,0.073879329
0.28,0.881207615,0.067894986
0.3,0.834543762,0.061720267
0.32,0.768654708,0.055470377
0.34,0.694598358,0.049337666
0.36,0.642243541,0.043510558
0.38,0.602806237,0.038118916
0.4,0.568831115,0.033226327
0.42,0.537416268,0.028843414
0.44,0.507473017,0.024947112
0.46,0.4785304,0.021496781
0.48,0.450403325,0.018445541
0.5,0.423048359,0.015747155
0.52,0.396500195,0.013359607
0.54,0.370846072,0.011246587
0.56,0.346219615,0.009377769
0.58,0.322804611,0.007728482
0.6,0.300840682,0.006279105
0.62,0.280614158,0.005014347
0.64,0.262399063,0.003922417
0.66,0.246337178,0.002994037
0.68,0.232360177,0.002221154
0.7,0.2202456,0.001595327
0.72,0.209721322,0.001105927
0.74,0.200527423,0.000738693
0.76,0.192436944,0.000475406
0.78,0.185259682,0.000295212
0.8,0.17884069,0.000177169
0.82,0.173056488,0.000102823
0.84,0.167809811,5.77E-05
0.86,0.163023984,3.12E-05
0.88,0.158637958,1.63E-05
0.9,0.154602452,8.32E-06
0.92,0.150877128,4.21E-06
0.94,0.147428501,2.19E-06
0.96,0.144228378,1.25E-06
0.98,0.141252693,8.24E-07
1,0.138480652,6.48E-07
